First Matching Affiliation from Corresponding Author,First Matching Corresponding Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Computational Science, Department of Chemistry and Applied Biosciences, ETH Zurich, USI-Campus, via G. Buffi 13, CH-6900, Lugano, Switzerland E-mail: krack@phys.chem.ethz.ch","Krack, M.",usi,10.1007/s00214-005-0655-y,https://doi.org/10.1007/s00214-005-0655-y,,Pseudopotentials for H to Kr optimized for gradient-corrected exchange-correlation functionals,,"Krack, M.",2005,Theoretical Chemistry Accounts,"Computational Science, Department of Chemistry and Applied Biosciences, ETH Zurich, USI-Campus, via G. Buffi 13, CH-6900, Lugano, Switzerland E-mail: krack@phys.chem.ethz.ch",Springer-Verlag,,114,1-3,145,152,1432-881X,1432-2234,copyright,"Springer-Verlag Berlin Heidelberg, 2005",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s002140050655y,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s002140050655y&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s002140050655y&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s002140050655y&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"IDSIA, Galleria 2, 6928 Manno, Switzerland E-mail: christoph@idsia.ch","Ambühl, Christoph",usi,10.1007/s00224-005-1141-6,https://doi.org/10.1007/s00224-005-1141-6,,The Clique Problem in Intersection Graphs of Ellipses and Triangles,,"Ambühl, Christoph;Wagner, Uli",2005,Theory of Computing Systems,"IDSIA, Galleria 2, 6928 Manno, Switzerland E-mail: christoph@idsia.ch;2Institut fur Theoretische Informatik, ETH Zurich, 8092 Zurich, Switzerland E-mail: wagneru@inf.ethz.ch",Springer-Verlag; www.springer-ny.com,,38,3,279,292,1432-4350,1433-0490,copyright,"Springer, 2005",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s0022400511416,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0022400511416&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0022400511416&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0022400511416&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Università della Svizzera Italiana, Lugano, Switzerland E-mail: roberto.bruttomesso@unisi.ch","Bruttomesso, Roberto",usi,10.1007/s10472-009-9152-7,https://doi.org/10.1007/s10472-009-9152-7,,Delayed theory combination vs. Nelson-Oppen for satisfiability modulo theories: a comparative analysis,,"Bruttomesso, Roberto;Cimatti, Alessandro;Franzen, Anders;Griggio, Alberto;Sebastiani, Roberto",2009,Annals of Mathematics and Artificial Intelligence,"Università della Svizzera Italiana, Lugano, Switzerland E-mail: roberto.bruttomesso@unisi.ch;FBK-Irst, Povo, Trento, Italy E-mail: cimatti@fbk.eu;FBK-Irst, Povo, Trento, Italy E-mail: franzen@fbk.eu;DISI, University of Trento, Povo, Trento, Italy E-mail: griggio@disi.unitn.it;DISI, University of Trento, Povo, Trento, Italy E-mail: rseba@disi.unitn.it",Springer Netherlands,,55,,63,99,1012-2443,1573-7470,copyright,"Springer Science+Business Media B.V., 2009",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1047200991527,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1047200991527&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1047200991527&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1047200991527&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Argumentation, Linguistics and Semiotics, Università della Svizzera Italiana, Via G. Buffi, 13, 6904, Lugano, Switzerland E-mail: marta.zampa@usi.ch","Zampa, Marta",usi,10.1007/s10503-012-9283-6,https://doi.org/10.1007/s10503-012-9283-6,,Peter A. Cramer: Controversy as News Discourse,"Springer Science + Business Media, Dordrecht, Heidelberg, London, New York, 2011, Viii + 203 pp","Rocci, Andrea;Zampa, Marta",2013,Argumentation,"Institute of Argumentation, Linguistics and Semiotics, Università della Svizzera Italiana, Via G. Buffi, 13, 6904, Lugano, Switzerland E-mail: andrea.rocci@usi.ch;Institute of Argumentation, Linguistics and Semiotics, Università della Svizzera Italiana, Via G. Buffi, 13, 6904, Lugano, Switzerland E-mail: marta.zampa@usi.ch",Springer Netherlands,2018-08-01,27,3,327,336,0920-427X,1572-8374,copyright,"Springer Science+Business Media Dordrecht, 2012",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1050301292836,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1050301292836&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1050301292836&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1050301292836&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Centre for Organisational Research, Faculty of Economics, University of Lugano, Lugano, Switzerland E-mail: blepori@usi.ch","Lepori, Benedetto",usi,10.1007/s10734-012-9581-9,https://doi.org/10.1007/s10734-012-9581-9,,Budgetary allocation and organizational characteristics of higher education institutions: a review of existing studies and a framework for future research,,"Lepori, Benedetto;Usher, John;Montauti, Martina",2013,Higher Education,"Centre for Organisational Research, Faculty of Economics, University of Lugano, Lugano, Switzerland E-mail: blepori@usi.ch;Policy and Strategy, Faculty of Management, University of Lethbridge, Lethbridge, AB, Canada E-mail: john.usher@uleth.ca;Centre for Organisational Research, Faculty of Economics, University of Lugano, Lugano, Switzerland",Springer Netherlands,,65,,59,78,0018-1560,1573-174X,copyright,"Springer Science+Business Media Dordrecht, 2012",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1073401295819,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1073401295819&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1073401295819&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1073401295819&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Lugano, Lugano, Switzerland E-mail: alessandro.lomi@usi.ch","Lomi, Alessandro",usi,10.1007/s11135-011-9619-6,https://doi.org/10.1007/s11135-011-9619-6,,From network ties to network structures: Exponential Random Graph Models of interorganizational relations,,"Pallotti, Francesca;Lomi, Alessandro;Mascia, Daniele",2013,Quality & Quantity,"University of Lugano, Lugano, Switzerland E-mail: francesca.pallotti@usi.ch;University of Lugano, Lugano, Switzerland E-mail: alessandro.lomi@usi.ch;Catholic University of Rome, Rome, Italy E-mail: dmascia@rm.unicatt.it",Springer Netherlands,,47,3,1665,1685,0033-5177,1573-7845,copyright,"Springer Science+Business Media B.V., 2011",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1113501196196,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1113501196196&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1113501196196&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1113501196196&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"REVEAL @ Faculty of Informatics, University of Lugano, Lugano, Switzerland E-mail: marco.dambros@usi.ch","D’Ambros, Marco",usi,10.1007/s10009-010-0171-9,https://doi.org/10.1007/s10009-010-0171-9,,On porting software visualization tools to the web,,"D’Ambros, Marco;Lanza, Michele;Lungu, Mircea;Robbes, Romain",2011,International Journal on Software Tools for Technology Transfer,"REVEAL @ Faculty of Informatics, University of Lugano, Lugano, Switzerland E-mail: marco.dambros@usi.ch;REVEAL @ Faculty of Informatics, University of Lugano, Lugano, Switzerland E-mail: michele.lanza@usi.ch;Software Composition Group (SCG), University of Bern, Bern, Switzerland E-mail: lungu@iam.unibe.ch;PLEIAD Lab, Computer Science Department (DCC), University of Chile, Santiago, Chile E-mail: rrobbes@dcc.uchile.cl",Springer-Verlag,,13,,181,200,1433-2779,1433-2787,copyright,"Springer-Verlag, 2010",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1000901001719,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1000901001719&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1000901001719&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1000901001719&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de Géologie et Paléontologie, Université de Lausanne, Anthropole, 1015, Lausanne, Switzerland Museo Cantonale di Storia Naturale, Viale Cattaneo 4, 6900, Lugano, Switzerland E-mail: rudolf.stockar@ti.ch","Stockar, Rudolf",usi,10.1007/s00015-012-0093-5,https://doi.org/10.1007/s00015-012-0093-5,,"Integrated Ladinian bio-chronostratigraphy and geochrononology of Monte San Giorgio (Southern Alps, Switzerland)",,"Stockar, Rudolf;Baumgartner, Peter O.;Condon, Daniel",2012,Swiss Journal of Geosciences,"Institut de Géologie et Paléontologie, Université de Lausanne, Anthropole, 1015, Lausanne, Switzerland Museo Cantonale di Storia Naturale, Viale Cattaneo 4, 6900, Lugano, Switzerland E-mail: rudolf.stockar@ti.ch;Institut de Géologie et Paléontologie, Université de Lausanne, Anthropole, 1015, Lausanne, Switzerland;NERC Isotope Geosciences Laboratory, British Geological Survey, NG12 5GG, Nottingham, England, UK",SP Birkhäuser Verlag Basel,,105,1,85,108,1661-8726,1661-8734,copyright,"Swiss Geological Society, 2012",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s0001501200935,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0001501200935&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0001501200935&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0001501200935&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Museo Cantonale di Storia Naturale, Viale Cattaneo 4, 6900, Lugano, Switzerland Institut de Géologie et Paléontologie, Université de Lausanne, Anthropole, 1015, Lausanne, Switzerland E-mail: rudolf.stockar@ti.ch","Stockar, Rudolf",usi,10.1007/s00015-011-0077-x,https://doi.org/10.1007/s00015-011-0077-x,,"Co-occurrence of Neusticosaurus edwardsii and N. peyeri (Reptilia) in the Lower Meride Limestone (Middle Triassic, Monte San Giorgio)",,"Stockar, Rudolf;Renesto, Silvio",2011,Swiss Journal of Geosciences,"Museo Cantonale di Storia Naturale, Viale Cattaneo 4, 6900, Lugano, Switzerland Institut de Géologie et Paléontologie, Université de Lausanne, Anthropole, 1015, Lausanne, Switzerland E-mail: rudolf.stockar@ti.ch;Department of Structural and Functional Biology, Università degli Studi dell’Insubria, via Dunant 3, 21100, Varese, Italy",SP Birkhäuser Verlag Basel,,104,,167,178,1661-8726,1661-8734,copyright,"Swiss Geological Society, 2011",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s000150110077x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s000150110077x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s000150110077x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s000150110077x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Finance, University of Lugano, via Buffi 13, 6900, Lugano, Switzerland E-mail: Giovanni.Barone-Adesi@lu.unisi.ch","Barone-Adesi, Giovanni",usi,10.1007/s10614-006-9069-8,https://doi.org/10.1007/s10614-006-9069-8,,Cutting the hedge,,"Barone-Adesi, Giovanni;Elliott, Robert J.",2007,Computational Economics,"Institute of Finance, University of Lugano, via Buffi 13, 6900, Lugano, Switzerland E-mail: Giovanni.Barone-Adesi@lu.unisi.ch;Haskayne School of Business, University of Calgary, T2N 1N4, Calgary, Alberta, Canada E-mail: relliott@ucalgary.ca",Springer US; http://www.springer-ny.com,,29,,151,158,0927-7099,1572-9974,copyright,"Springer Science+Business Media, LLC, 2007",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1061400690698,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1061400690698&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1061400690698&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1061400690698&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Finance, University of Lugano (USI), Via Buffi 13, Centrocivico, 6900, Lugano, Switzerland E-mail: francesco.audrino@lu.unisi.ch","Audrino, Francesco",usi,10.1007/s10436-006-0046-y,https://doi.org/10.1007/s10436-006-0046-y,,A Forecasting Model for Stock Market Diversity,,"Audrino, Francesco;Fernholz, Robert;Ferretti, Roberto G.",2007,Annals of Finance,"Institute of Finance, University of Lugano (USI), Via Buffi 13, Centrocivico, 6900, Lugano, Switzerland E-mail: francesco.audrino@lu.unisi.ch;INTECH, One Palmer Square, 08542, Priceton, NJ, USA E-mail: bob@enhanced.com;Institute of Finance, University of Lugano (USI), Via Buffi 13, Centrocivico, 6900, Lugano, Switzerland BSI SA, Via peri 23, 6900, Lugano, Switzerland E-mail: roberto.ferretti@lu.unisi.ch",Springer-Verlag,,3,2,213,240,1614-2446,1614-2454,copyright,"Springer-Verlag, 2006",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s104360060046y,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s104360060046y&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s104360060046y&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s104360060046y&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"IDSIA, Galleria 2, 6928, Manno (Lugano), Switzerland Faculty of Informatics, University of Lugano, Via Buffi 13, 6904, Lugano, Switzerland E-mail: matteo@idsia.ch","Gagliolo, Matteo",usi,10.1007/s10472-006-9036-z,https://doi.org/10.1007/s10472-006-9036-z,,Learning dynamic algorithm portfolios,,"Gagliolo, Matteo;Schmidhuber, Jürgen",2006,Annals of Mathematics and Artificial Intelligence,"IDSIA, Galleria 2, 6928, Manno (Lugano), Switzerland Faculty of Informatics, University of Lugano, Via Buffi 13, 6904, Lugano, Switzerland E-mail: matteo@idsia.ch;IDSIA, Galleria 2, 6928, Manno (Lugano), Switzerland Faculty of Informatics, University of Lugano, Via Buffi 13, 6904, Lugano, Switzerland TU Munich, Boltzmannstr. 3, 85748, München, Garching, Germany E-mail: juergen@idsia.ch",Kluwer Academic Publishers,,47,3-4,295,328,1012-2443,1573-7470,copyright,"Springer Science+Business Media, Inc., 2007",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s104720069036z,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s104720069036z&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s104720069036z&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s104720069036z&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Faculty of Communication Sciences, University of Lugano, Via G. Buffi 13, CH 6900, Lugano, Switzerland E-mail: schulzp@lu.unisi.ch","Schulz, Peter J.",usi,10.1007/s10503-007-9023-5,https://doi.org/10.1007/s10503-007-9023-5,,Comment on ‹Constrained Maneuvering: Rhetoric as a Rational Enterprise’,,"Schulz, Peter J.",2006,Argumentation,"Faculty of Communication Sciences, University of Lugano, Via G. Buffi 13, CH 6900, Lugano, Switzerland E-mail: schulzp@lu.unisi.ch",Kluwer Academic Publishers,,20,,467,471,0920-427X,1572-8374,copyright,"Springer Science+Business Media B.V., 2007",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1050300790235,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1050300790235&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1050300790235&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1050300790235&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Finance, University of Lugano, via Buffi 13, 6900, Lugano, Switzerland NCCR-FINRISK, University of Zurich, Zurich, Switzerland E-mail: enrico.degiorgi@lu.unisi.ch","De Giorgi, Enrico",usi,10.1007/s11408-006-0019-1,https://doi.org/10.1007/s11408-006-0019-1,,Making prospect theory fit for finance,,"De Giorgi, Enrico;Hens, Thorsten",2006,Financial Markets and Portfolio Management,"Institute of Finance, University of Lugano, via Buffi 13, 6900, Lugano, Switzerland NCCR-FINRISK, University of Zurich, Zurich, Switzerland E-mail: enrico.degiorgi@lu.unisi.ch;NCCR-FINRISK, University of Zurich, Zurich, Switzerland Swiss Banking Institute, University of Zurich, Plattenstrasse 32, 8032, Zurich, Switzerland Norwegian School of Economics and Business Administration, Helleveien 30, 5045, Bergen, Norway E-mail: thens@isb.unizh.ch",Kluwer Academic Publishers-Plenum Publishers; http://www.springer-ny.com,,20,3,339,360,1555-4961,1555-497X,copyright,"Swiss Society for Financial Market Research, 2006",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1140800600191,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1140800600191&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1140800600191&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1140800600191&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
