First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Institute of Biochemistry, University of Fribourg, Pérolles, CH-1700 Fribourg, Switzerland 1Institute of Microbiology, ETH Zürich, CH-8092 Zürich, Switzerland","Canivenc-Gansel, Elisabeth",unifr,10.1093/glycob/8.8.761,https://doi.org/10.1093/glycob/8.8.761,http://doc.rero.ch/record/303174/files/8-8-761.pdf,"GPI anchor biosynthesis in yeast: phosphoethanolamine is attached to the α1,4-linked mannose of the complete precursor glycophospholipid",,"Canivenc-Gansel, Elisabeth;Imhof, Isabella;Reggiori, Fulvio;Burda, Patricie;Conzelmann, Andreas;Benachour, Abdellah",1998,Glycobiology,"Institute of Biochemistry, University of Fribourg, Pérolles, CH-1700 Fribourg, Switzerland 1Institute of Microbiology, ETH Zürich, CH-8092 Zürich, Switzerland;Institute of Biochemistry, University of Fribourg, Pérolles, CH-1700 Fribourg, Switzerland 1Institute of Microbiology, ETH Zürich, CH-8092 Zürich, Switzerland;Institute of Biochemistry, University of Fribourg, Pérolles, CH-1700 Fribourg, Switzerland 1Institute of Microbiology, ETH Zürich, CH-8092 Zürich, Switzerland;Institute of Microbiology, ETH Zürich, CH-8092 Zürich, Switzerland;2To whom correspondence should be addressed at: Institute of Biochemistry, University of Fribourg, Rte du Musée 5, CH-1700 Fribourg, Switzerland;Institute of Biochemistry, University of Fribourg, Pérolles, CH-1700 Fribourg, Switzerland 1Institute of Microbiology, ETH Zürich, CH-8092 Zürich, Switzerland",Oxford University Press,,8,8,761,770,0959-6658,1460-2423,copyright,© 1998 Oxford University Press,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093glycob88761,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093glycob88761&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093glycob88761&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093glycob88761&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg,"Bortis, Heinrich",unifr,10.1093/oxfordjournals.cpe.a014053,https://doi.org/10.1093/oxfordjournals.cpe.a014053,http://doc.rero.ch/record/293544/files/16-1-119.pdf,BOOK REVIEWS,,"Bortis, Heinrich",1997,Contributions to Political Economy,University of Fribourg,Oxford University Press,,16,1,119,121,0277-5921,1464-3588,copyright,© Cambridge Political Economy Society,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oxfordjournalscpea014053,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalscpea014053&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalscpea014053&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalscpea014053&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Professeur à l'Université de Fribourg, Directeur de l'Observatoire de la Finance, Genève et Mohammad Farrokh Journaliste indépendant, Historien des idées, Genève","Dembinski, Paul H.",unifr,10.1093/rsq/hdi0267,https://doi.org/10.1093/rsq/hdi0267,http://doc.rero.ch/record/297588/files/hdi0267.pdf,L'Esprit de Genève : un passé en quête d'un avenir,,"Dembinski, Paul H.",2007,Refugee Survey Quarterly,"Professeur à l'Université de Fribourg, Directeur de l'Observatoire de la Finance, Genève et Mohammad Farrokh Journaliste indépendant, Historien des idées, Genève",Oxford University Press,,26,4,76,83,1020-4067,1471-695X,copyright,"© UNHCR 2007, all rights reserved",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093rsqhdi0267,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093rsqhdi0267&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093rsqhdi0267&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093rsqhdi0267&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg,"Adamovich, Ivan Baron",unifr,10.1093/oxfordjournals.pubjof.a004974,https://doi.org/10.1093/oxfordjournals.pubjof.a004974,http://doc.rero.ch/record/292890/files/33-1-1.pdf,Fiscal Federalism for Emerging Economies: Lessons from Switzerland?,,"Adamovich, Ivan Baron;Hosp, Gerald",2003,Publius: The Journal of Federalism,University of Fribourg;University of Fribourg,Oxford University Press,,33,1,1,21,0048-5950,1747-7107,copyright,"© 2003, CSF Associates, Easton, PA",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oxfordjournalspubjofa004974,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspubjofa004974&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspubjofa004974&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspubjofa004974&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Biology, Plant Biology, University of Fribourg, ch. Du Musée 10, CH-1700 Fribourg, Switzerland","Sticher, Liliane",unifr,10.1093/pcp/pcn051,https://doi.org/10.1093/pcp/pcn051,http://doc.rero.ch/record/290721/files/pcn051.pdf,Tomato Rab11a Characterization Evidenced a Difference Between SYP121-Dependent and SYP122-Dependent exocytosis,,"Rehman, Reiaz Ul;Stigliano, Egidio;Lycett, Grantley W.;Sticher, Liliane;Sbano, Francesca;Faraco, Marianna;Dalessandro, Giuseppe;Di Sansebastiano, Gian-Pietro",2008,Plant and Cell Physiology,"Di.S.Te.B.A., Università del Salento, via prov. Lecce-Monteroni, 73100 Lecce, Italy;Di.S.Te.B.A., Università del Salento, via prov. Lecce-Monteroni, 73100 Lecce, Italy;Plant Sciences Division, University of Nottingham, Sutton Bonington Campus, Loughborough LE12 5RD, UK;Department of Biology, Plant Biology, University of Fribourg, ch. Du Musée 10, CH-1700 Fribourg, Switzerland;Di.S.Te.B.A., Università del Salento, via prov. Lecce-Monteroni, 73100 Lecce, Italy;Di.S.Te.B.A., Università del Salento, via prov. Lecce-Monteroni, 73100 Lecce, Italy;Di.S.Te.B.A., Università del Salento, via prov. Lecce-Monteroni, 73100 Lecce, Italy;Di.S.Te.B.A., Università del Salento, via prov. Lecce-Monteroni, 73100 Lecce, Italy E-mail: gp.disansebastiano@unile.it",Oxford University Press,,49,5,751,766,0032-0781,1471-9053,copyright,"© The Author 2008. Published by Oxford University Press on behalf of Japanese Society of Plant Physiologists. All rights reserved. For permissions, please email: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093pcppcn051,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093pcppcn051&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093pcppcn051&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093pcppcn051&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Psychology, University of Fribourg, Switzerland","Klumb, Petra L.",unifr,10.1093/geronb/gbr024,https://doi.org/10.1093/geronb/gbr024,http://doc.rero.ch/record/303040/files/gbr024.pdf,Correspondence Between Retrospective and Momentary Ratings of Positive and Negative Affect in Old Age: Findings From a One-Year Measurement Burst Design,,"Röcke, Christina;Hoppmann, Christiane A.;Klumb, Petra L.",2011,Journals of Gerontology Series B: Psychological Sciences and Social Sciences,"International Normal Aging and Plasticity Imaging Center, University of Zurich, Switzerland E-mail: c.roecke@inapic.uzh.ch;Department of Psychology, University of British Columbia, Vancouver, Canada;Department of Psychology, University of Fribourg, Switzerland",Oxford University Press,,66B,4,411,415,1079-5014,1758-5368,copyright,"© The Author 2011. Published by Oxford University Press on behalf of The Gerontological Society of America. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093geronbgbr024,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093geronbgbr024&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093geronbgbr024&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093geronbgbr024&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Fribourg, Plant Biology, 3, Albert-Gockel, CH-1700 Fribourg, Switzerland","Plaza, Sonia",unifr,10.1093/pcp/pcn034,https://doi.org/10.1093/pcp/pcn034,http://doc.rero.ch/record/302561/files/pcn034.pdf,"Comparative Mutant Analysis of Arabidopsis ABCC-Type ABC Transporters: AtMRP2 Contributes to Detoxification, Vacuolar Organic Anion Transport and Chlorophyll Degradation",,"Frelet-Barrand, Annie;Kolukisaoglu, H. Üner;Plaza, Sonia;Rüffer, Maika;Azevedo, Louis;Hörtensteiner, Stefan;Marinova, Krasimira;Weder, Barbara;Schulz, Burkhard;Klein, Markus",2008,Plant and Cell Physiology,"Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland;University of Rostock, Institute of Biosciences, Albert-Einstein-Str. 3, D-18059 Rostock, Germany;University of Fribourg, Plant Biology, 3, Albert-Gockel, CH-1700 Fribourg, Switzerland;University of Rostock, Institute of Biosciences, Albert-Einstein-Str. 3, D-18059 Rostock, Germany;Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland;Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland;Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland;Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland;Purdue University, Horticulture and Landscape Architecture, 625 Agriculture Mall Dr., West Lafayette, IN, 47907-2010, USA;Zurich Basel Plant Science Center, University of Zurich, Plant Biology, Zollikerstrasse 107, CH-8008 Zürich, Switzerland E-mail: markus.klein@botinst.uzh.ch",Oxford University Press,,49,4,557,569,0032-0781,1471-9053,copyright,"© The Author 2008. Published by Oxford University Press on behalf of Japanese Society of Plant Physiologists. All rights reserved. For permissions, please email: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093pcppcn034,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093pcppcn034&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093pcppcn034&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093pcppcn034&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Physiology, University of Fribourg, Switzerland Memorial University of Newfoundland, St. John's, Canada.","Antic, V.",unifr,10.1016/S0895-7061(99)80739-0,https://doi.org/10.1016/S0895-7061(99)80739-0,http://doc.rero.ch/record/289327/files/12_S4_205Aa.pdf,J002: Role of the sympathetic nervous system during the development of obesity-induced hypertension in rabbits.,,"Antic, V.;Kiener-Belforti, F.;Tempini, A.;Van Vliet, B.N.;Montani, J.P.",1999,American Journal of Hypertension,"Institute of Physiology, University of Fribourg, Switzerland Memorial University of Newfoundland, St. John's, Canada.;Institute of Physiology, University of Fribourg, Switzerland Memorial University of Newfoundland, St. John's, Canada.;Institute of Physiology, University of Fribourg, Switzerland Memorial University of Newfoundland, St. John's, Canada.;Institute of Physiology, University of Fribourg, Switzerland Memorial University of Newfoundland, St. John's, Canada.;Institute of Physiology, University of Fribourg, Switzerland",Oxford University Press,,12,S4,205A,205A,0895-7061,1941-7225,copyright,"© 1999 by the American Journal of Hypertension, Ltd.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016S0895706199807390,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706199807390&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706199807390&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706199807390&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Physiology, University of Fribourg, Fribourg, Switzerland","Antic, Vladan",unifr,10.1016/S0895-7061(02)02673-0,https://doi.org/10.1016/S0895-7061(02)02673-0,http://doc.rero.ch/record/291221/files/15_S3_147A.pdf,P-322: Alterations in blood pressure and heart rate during cyclic changes in food intake,,"Antic, Vladan;Montani, Jean-Pierre",2002,American Journal of Hypertension,"Institute of Physiology, University of Fribourg, Fribourg, Switzerland;Institute of Physiology, University of Fribourg, Fribourg, Switzerland",Oxford University Press,,15,S3,147A,147A,0895-7061,1941-7225,copyright,"© 2002 by the American Journal of Hypertension, Ltd.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016S0895706102026730,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706102026730&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706102026730&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706102026730&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Informatics, University of Fribourg, Rue Faucigny 2, CH-1700 Fribourg, Switzerland. E-mail: robert.staerk@unifr.ch","Stärk, R",unifr,10.1093/logcom/9.1.47,https://doi.org/10.1093/logcom/9.1.47,http://doc.rero.ch/record/303432/files/090047.pdf,A direct proof of the completeness of SLDNF-resolution,,"Stärk, R",1999,Journal of Logic and Computation,"Institute of Informatics, University of Fribourg, Rue Faucigny 2, CH-1700 Fribourg, Switzerland. E-mail: robert.staerk@unifr.ch",Oxford University Press,,9,1,47,61,0955-792X,1465-363X,copyright,Copyright 1999,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093logcom9147,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093logcom9147&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093logcom9147&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093logcom9147&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg E-mail: karen.junod@unifr.ch,"Junod, Karen",unifr,10.1093/res/hgr116,https://doi.org/10.1093/res/hgr116,http://doc.rero.ch/record/304432/files/hgr116.pdf,"dennis m. read. R. H. Cromek, Engraver, Editor and Entrepreneur.",,"Junod, Karen",2012,The Review of English Studies,University of Fribourg E-mail: karen.junod@unifr.ch,Oxford University Press,,63,259,337,339,0034-6551,1471-6968,copyright,© The Author 2011. Published by Oxford University Press 2011; all rights reserved,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093reshgr116,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093reshgr116&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093reshgr116&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093reshgr116&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de Mathématique, Université de Fribourg, Pérolle, CH‐1700 Fribourg, Switzerland","Aassila, Mohammed",unifr,10.1093/imamat/69.1.93,https://doi.org/10.1093/imamat/69.1.93,http://doc.rero.ch/record/289834/files/690093.pdf,Stability and asymptotic behaviour of solutions of the heat equation,,"Aassila, Mohammed",2004,IMA Journal of Applied Mathematics,"Institut de Mathématique, Université de Fribourg, Pérolle, CH‐1700 Fribourg, Switzerland",Oxford University Press,,69,1,93,109,0272-4960,1464-3634,copyright,Copyright Oxford University Press 2004,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093imamat69193,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093imamat69193&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093imamat69193&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093imamat69193&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Unit of Anatomy, University of Fribourg, 1700 Fribourg, Switzerland and *To whom correspondence should be addressed. E-mail: tilman.voigt-gawatz@unifr.ch","Voigt, Tilman",unifr,10.1093/jmicro/dfh094,https://doi.org/10.1093/jmicro/dfh094,http://doc.rero.ch/record/291580/files/dfh094.pdf,The position and morphology of honeycombs in normal skeletal muscle fibres of the healthy frog,,"Voigt, Tilman;Dauber, Wolfgang",2004,Journal of Electron Microscopy,"Unit of Anatomy, University of Fribourg, 1700 Fribourg, Switzerland and *To whom correspondence should be addressed. E-mail: tilman.voigt-gawatz@unifr.ch;Institute of Anatomy, Eberhard-Karls-University Tübingen, 72074 Tübingen, Germany Unit of Anatomy, University of Fribourg, 1700 Fribourg, Switzerland and",Oxford University Press,,53,6,671,675,0022-0744,1477-9986,copyright,© Japanese Society of Microscopy,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093jmicrodfh094,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jmicrodfh094&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jmicrodfh094&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jmicrodfh094&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
Universität Fribourg,"Kellermann, Kersten",unifr,10.1111/1468-2516.00269,https://doi.org/10.1111/1468-2516.00269,http://doc.rero.ch/record/291467/files/1468-2516.00269.pdf,",,Kosten der Kleinheit“ und die Föderalismusdebatte in der Schweiz",,"Kellermann, Kersten",2008,Perspektiven der Wirtschaftspolitik,Universität Fribourg,De Gruyter,,9,2,196,225,1465-6493,1468-2516,copyright,© 2014 by Walter de Gruyter GmbH & Co.,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter1011111468251600269,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1011111468251600269&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1011111468251600269&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1011111468251600269&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
